normbin_0.6m,event_0.6m,normbin_0.6s,event_0.6s,,normbin_0.3m,event_0.3m,normbin_0.3s,event_0.3s
1.82,0,,,,4.77,0,,
1.82,0,,,,4.75,0,,
1.81,0,,,,4.74,0,,
1.81,0,,,,4.73,0,,
1.8,0,,,,4.72,1,,
1.8,0,,,,4.71,0,,
1.8,0,,,,4.7,0,,
1.79,0,,,,4.69,1,,
1.79,0,,,,4.68,0,,
1.78,0,,,,4.67,0,,
1.78,0,,,,4.66,0,,
1.78,0,,,,4.65,0,,
1.77,0,,,,4.64,1,,
1.77,0,,,,4.63,0,,
1.76,0,,,,4.62,0,,
1.76,0,,,,4.61,0,,
1.76,0,,,,4.6,0,,
1.75,0,,,,4.59,0,,
1.75,0,,,,4.58,0,,
1.74,0,,,,4.56,0,,
1.74,0,,,,4.55,0,,
1.74,0,,,,4.54,0,,
1.73,0,,,,4.53,0,,
1.73,0,,,,4.52,0,,
1.72,0,,,,4.51,0,,
1.72,0,,,,4.5,0,,
1.72,0,,,,4.49,0,,
1.71,0,,,,4.48,0,,
1.71,0,,,,4.47,0,,
1.7,0,,,,4.46,0,,
1.7,1,,,,4.45,1,,
1.69,0,,,,4.44,0,,
1.69,0,,,,4.43,0,,
1.69,0,,,,4.42,0,,
1.68,0,,,,4.41,0,,
1.68,0,,,,4.4,0,,
1.67,0,,,,4.38,0,,
1.67,0,,,,4.37,0,,
1.67,0,,,,4.36,0,,
1.66,0,,,,4.35,0,,
1.66,0,,,,4.34,0,,
1.65,0,,,,4.33,0,,
1.65,0,,,,4.32,1,,
1.65,0,,,,4.31,0,,
1.64,0,,,,4.3,0,,
1.64,0,,,,4.29,0,,
1.63,0,,,,4.28,0,,
1.63,0,,,,4.27,0,,
1.63,0,,,,4.26,0,,
1.62,0,,,,4.25,0,,
1.62,0,,,,4.24,0,,
1.61,0,,,,4.23,0,,
1.61,0,,,,4.22,0,,
1.61,0,,,,4.2,0,,
1.6,0,,,,4.19,0,,
1.6,0,,,,4.18,1,,
1.59,0,,,,4.17,1,,
1.59,0,,,,4.16,0,,
1.59,0,,,,4.15,1,,
1.58,0,,,,4.14,0,,
1.58,0,,,,4.13,0,,
1.57,0,,,,4.12,0,,
1.57,0,,,,4.11,0,,
1.57,0,,,,4.1,0,,
1.56,0,,,,4.09,0,,
1.56,0,,,,4.08,0,,
1.55,0,,,,4.07,0,,
1.55,0,,,,4.06,0,,
1.55,0,,,,4.05,0,,
1.54,0,,,,4.04,0,,
1.54,0,,,,4.03,0,,
1.53,0,,,,4.01,1,,
1.53,0,,,,4,0,,
1.53,1,,,,3.99,0,,
1.52,0,,,,3.98,0,,
1.52,0,,,,3.97,0,,
1.51,0,,,,3.96,0,,
1.51,0,,,,3.95,0,,
1.5,0,,,,3.94,0,,
1.5,0,,,,3.93,0,,
1.5,0,,,,3.92,0,,
1.49,0,,,,3.91,0,,
1.49,0,,,,3.9,0,,
1.48,0,,,,3.89,0,,
1.48,0,,,,3.88,0,,
1.48,1,,,,3.87,0,,
1.47,0,,,,3.86,0,,
1.47,0,,,,3.85,1,,
1.46,1,,,,3.83,0,,
1.46,0,,,,3.82,0,,
1.46,1,,,,3.81,0,,
1.45,0,,,,3.8,0,,
1.45,0,,,,3.79,0,,
1.44,0,,,,3.78,0,,
1.44,0,,,,3.77,0,,
1.44,0,,,,3.76,0,,
1.43,0,,,,3.75,0,,
1.43,0,,,,3.74,0,,
1.42,0,,,,3.73,0,,
1.42,0,,,,3.72,0,,
1.42,0,,,,3.71,0,,
1.41,0,,,,3.7,0,,
1.41,0,,,,3.69,0,,
1.4,0,,,,3.68,0,,
1.4,0,,,,3.67,0,,
1.4,0,,,,3.65,0,,
1.39,0,,,,3.64,0,,
1.39,1,,,,3.63,0,,
1.38,0,,,,3.62,0,,
1.38,0,,,,3.61,0,,
1.38,0,,,,3.6,0,,
1.37,0,,,,3.59,0,,
1.37,0,,,,3.58,0,,
1.36,0,,,,3.57,0,,
1.36,0,,,,3.56,0,,
1.36,0,,,,3.55,0,,
1.35,0,,,,3.54,0,,
1.35,0,,,,3.53,1,,
1.34,0,,,,3.52,0,,
1.34,0,,,,3.51,0,,
1.34,0,,,,3.5,0,,
1.33,0,,,,3.49,1,,
1.33,0,,,,3.48,0,,
1.32,0,,,,3.46,0,,
1.32,0,,,,3.45,0,,
1.32,0,,,,3.44,0,,
1.31,0,,,,3.43,0,,
1.31,0,,,,3.42,0,,
1.3,0,,,,3.41,0,,
1.3,1,,,,3.4,0,,
1.29,0,,,,3.39,0,,
1.29,1,,,,3.38,1,,
1.29,0,,,,3.37,0,,
1.28,1,,,,3.36,0,,
1.28,0,,,,3.35,0,,
1.27,0,,,,3.34,0,,
1.27,0,,,,3.33,0,,
1.27,0,,,,3.32,0,,
1.26,1,,,,3.31,0,,
1.26,1,,,,3.3,0,,
1.25,0,,,,3.28,0,,
1.25,0,,,,3.27,0,,
1.25,0,,,,3.26,0,,
1.24,2,,,,3.25,0,,
1.24,1,,,,3.24,0,,
1.23,1,,,,3.23,0,,
1.23,0,,,,3.22,1,,
1.23,0,,,,3.21,0,,
1.22,0,,,,3.2,0,,
1.22,2,,,,3.19,1,,
1.21,1,,,,3.18,0,,
1.21,2,,,,3.17,0,,
1.21,1,,,,3.16,0,,
1.2,4,,,,3.15,0,,
1.2,3,,,,3.14,2,,
1.19,0,,,,3.13,0,,
1.19,6,,,,3.12,0,,
1.19,4,,,,3.1,0,,
1.18,1,,,,3.09,0,,
1.18,5,,,,3.08,0,,
1.17,2,,,,3.07,0,,
1.17,3,,,,3.06,0,,
1.17,4,,,,3.05,0,,
1.16,1,,,,3.04,1,,
1.16,2,,,,3.03,0,,
1.15,1,,,,3.02,0,,
1.15,2,,,,3.01,0,,
1.15,1,,,,3,1,,
1.14,0,,,,2.99,0,,
1.14,0,,,,2.98,0,,
1.13,5,,,,2.97,0,,
1.13,10,,,,2.96,0,,
1.13,2,,,,2.95,0,,
1.12,7,,,,2.94,1,,
1.12,14,,,,2.93,0,,
1.11,11,,,,2.91,0,,
1.11,9,,,,2.9,0,,
1.11,17,,,,2.89,0,,
1.1,17,,,,2.88,0,,
1.1,16,,,,2.87,0,,
1.09,40,,,,2.86,0,,
1.09,32,,,,2.85,0,,
1.08,49,,,,2.84,0,,
1.08,56,,,,2.83,1,,
1.08,54,,,,2.82,0,,
1.07,60,,,,2.81,0,,
1.07,89,,,,2.8,0,,
1.06,89,,,,2.79,0,,
1.06,99,,,,2.78,2,,
1.06,131,,,,2.77,0,,
1.05,152,,,,2.76,0,,
1.05,154,,,,2.75,0,,
1.04,189,,,,2.73,0,,
1.04,181,,,,2.72,0,,
1.04,234,,,,2.71,0,,
