0.6Amp,0.6MeV,0.3Amp,0.3MeV
2.26E+01,99.04545455,52.4,98.16513761
2.26E+01,99.04545455,52.5,98.16513761
2.27E+01,99.04545455,52.6,98.16513761
2.27E+01,99.04545455,52.6,98.16513761
2.27E+01,99.04545455,52.9,98.25688073
2.28E+01,99.04545455,52.9,98.25688073
2.28E+01,99.04545455,52.9,98.25688073
2.28E+01,99.04545455,52.9,98.25688073
2.28E+01,99.04545455,53,98.25688073
2.29E+01,99.09090909,53.1,98.25688073
2.29E+01,99.09090909,53.1,98.25688073
2.29E+01,99.13636364,53.1,98.25688073
2.29E+01,99.13636364,53.1,98.34862385
2.30E+01,99.13636364,53.1,98.34862385
2.30E+01,99.13636364,53.1,98.34862385
2.30E+01,99.13636364,53.4,98.34862385
2.31E+01,99.13636364,53.5,98.34862385
2.31E+01,99.13636364,53.5,98.34862385
2.31E+01,99.18181818,53.6,98.34862385
2.32E+01,99.18181818,53.6,98.34862385
2.32E+01,99.18181818,53.6,98.34862385
2.32E+01,99.18181818,53.7,98.34862385
2.32E+01,99.18181818,53.8,98.34862385
2.33E+01,99.18181818,53.8,98.34862385
2.33E+01,99.18181818,54.1,98.34862385
2.33E+01,99.18181818,54.5,98.34862385
2.33E+01,99.22727273,54.7,98.34862385
2.33E+01,99.22727273,54.8,98.34862385
2.35E+01,99.22727273,54.9,98.34862385
2.36E+01,99.22727273,55.3,98.34862385
2.37E+01,99.22727273,55.3,98.34862385
2.37E+01,99.22727273,55.3,98.44036697
2.38E+01,99.22727273,55.4,98.44036697
2.38E+01,99.22727273,55.5,98.44036697
2.39E+01,99.22727273,55.6,98.44036697
2.39E+01,99.27272727,55.7,98.44036697
2.40E+01,99.27272727,55.9,98.44036697
2.41E+01,99.27272727,56,98.44036697
2.42E+01,99.27272727,56,98.44036697
2.43E+01,99.27272727,56,98.44036697
2.43E+01,99.27272727,56.1,98.44036697
2.44E+01,99.27272727,56.3,98.44036697
2.44E+01,99.27272727,56.4,98.44036697
2.44E+01,99.27272727,56.5,98.44036697
2.45E+01,99.27272727,56.5,98.44036697
2.45E+01,99.27272727,56.6,98.53211009
2.45E+01,99.27272727,56.6,98.53211009
2.45E+01,99.27272727,56.7,98.53211009
